"class","odor","gill.color","stalk.root","stalk.color.above.ring","stalk.color.below.ring","ring.number","ring.type","spore.print.color","population","habitat"
"1123","e","n","p","e","w","w","o","e","n","s","g"
"690","e","a","k","c","w","w","o","p","k","s","g"
"2983","e","n","u","b","g","w","o","p","n","v","d"
"1042","e","a","n","r","w","w","o","p","k","s","p"
"3370","e","n","w","b","p","g","o","p","k","y","d"
"2407","e","n","w","b","g","w","o","p","n","y","d"
"3723","e","n","p","b","p","w","o","p","n","y","d"
"3100","e","n","u","b","g","g","o","p","n","y","d"
"2651","e","n","n","b","p","g","o","p","n","y","d"
"1234","e","n","p","e","w","w","o","e","n","a","g"
"7808","e","n","n","?","o","o","o","p","b","c","l"
"5099","e","n","e","?","w","w","t","e","w","c","w"
"2498","e","n","w","b","g","w","o","p","k","y","d"
"2910","e","n","p","b","w","p","o","p","n","y","d"
"7632","e","n","w","?","w","w","t","p","w","s","g"
"1912","e","n","u","b","g","g","o","p","k","v","d"
"2885","e","n","u","b","p","p","o","p","k","v","d"
"3456","e","n","p","b","g","w","o","p","k","y","d"
"1115","e","l","p","r","w","w","o","p","k","s","g"
"5629","e","n","e","?","w","e","t","e","w","c","w"
"529","e","n","k","e","w","w","o","p","k","y","u"
"5979","e","n","w","b","w","n","o","e","w","v","l"
"705","e","l","p","r","w","w","o","p","n","s","p"
"641","e","l","w","c","w","w","o","p","k","n","m"
"7034","e","n","o","?","o","o","o","p","n","c","l"
"5285","e","n","w","?","w","w","o","f","h","v","d"
"1594","e","n","n","e","w","w","o","e","n","a","g"
"7818","e","n","w","?","w","w","t","p","w","n","g"
"152","e","n","p","e","w","w","o","e","n","a","g"
"4832","e","n","e","?","w","w","t","e","w","c","w"
"1135","e","a","g","c","w","w","o","p","k","n","g"
"7480","e","n","w","?","w","w","t","p","w","s","g"
"336","e","n","p","b","p","w","o","p","k","y","d"
"2078","e","n","w","b","w","w","o","p","n","y","d"
"291","e","n","g","e","w","w","o","p","k","y","u"
"95","e","n","n","e","w","w","o","e","n","a","g"
"3840","e","n","p","b","w","g","o","p","k","y","d"
"3049","e","n","p","b","p","w","o","p","k","y","d"
"1005","e","l","p","r","w","w","o","p","n","y","g"
"7212","e","n","g","?","w","w","t","p","w","n","g"
"624","e","a","n","r","w","w","o","p","k","s","p"
"4460","e","n","e","?","e","e","t","e","w","c","w"
"1317","e","n","k","e","w","w","o","e","n","s","g"
"1069","e","n","u","b","g","g","o","p","k","v","d"
"2433","e","n","w","b","w","g","o","p","n","y","d"
"1419","e","n","h","e","w","w","o","e","n","s","g"
"675","e","l","w","r","w","w","o","p","n","s","p"
"3216","e","n","u","b","w","p","o","p","n","v","d"
"4284","e","n","e","?","w","w","t","e","w","c","w"
"1302","e","n","k","e","w","w","o","e","k","a","g"
"3298","e","n","n","b","w","w","o","p","k","v","d"
"1758","e","n","n","e","w","w","o","e","k","s","g"
"1060","e","n","h","e","w","w","o","e","n","s","g"
"7674","e","n","w","b","w","w","t","p","w","v","p"
"2569","e","n","p","b","g","g","o","p","n","v","d"
"1576","e","n","k","e","w","w","o","e","k","a","g"
"3007","e","n","u","b","g","p","o","p","n","v","d"
"1894","e","n","n","e","w","w","o","e","n","a","g"
"660","e","n","k","e","w","w","o","p","n","y","u"
"480","e","l","n","c","w","w","o","p","k","s","m"
"849","e","l","k","c","w","w","o","p","n","n","m"
"3917","e","n","n","b","w","p","o","p","n","v","d"
"1985","e","n","u","b","p","g","o","p","n","v","d"
"7468","e","n","o","?","o","o","o","p","o","c","l"
"2599","e","n","n","b","p","p","o","p","n","y","d"
